CountryName,Year,SuicideRate,GDP_PerCapita,Continent
Vanuatu,2010,5.1,2966.857116,Oceania
Zambia,2010,6.3,1489.45907,Africa
Zimbabwe,2010,11.9,948.3318545,Africa
Albania,2015,6,3952.830781,Europe
Algeria,2015,3.2,4177.888966,Africa
Angola,2015,5,4166.979684,Africa
Antigua and Barbuda,2015,0.8,14526.58808,North America
Argentina,2015,8.8,13789.06042,South America
Armenia,2015,7,3607.296697,Europe
Australia,2015,13.8,56748.42026,Oceania
Austria,2015,16,44176.67174,Europe
Azerbaijan,2015,2.7,5500.320497,Europe
Bahrain,2015,5.9,22688.9444,Asia
Bangladesh,2015,6.1,1248.453398,Asia
Barbados,2015,0.7,16066.4718,North America
Belarus,2015,26.3,5949.106307,Europe
Belgium,2015,20.1,40441.05204,Europe
Belize,2015,4.8,4883.179011,North America
Benin,2015,9.9,783.9630778,Africa
Bhutan,2015,11.6,2829.891245,Asia
Bosnia and Herzegovina,2015,8.9,4727.277546,Europe
Botswana,2015,9.7,6799.875234,Africa
Brazil,2015,6.5,8814.000987,South America
Brunei Darussalam,2015,4.5,31164.56203,Asia
Bulgaria,2015,11.4,6993.783483,Europe
Burkina Faso,2015,7.7,575.3144542,Africa
Burundi,2015,8.9,305.5497728,Africa
Cabo Verde,2015,11,3043.013984,Africa
Cambodia,2015,5.3,1162.90492,Asia
Cameroon,2015,12.3,1326.969277,Africa
Canada,2015,12.5,43495.05439,North America
Central African Republic,2015,8.1,380.4042935,Africa
Chad,2015,8.9,775.7075235,Africa
Chile,2015,10.9,13574.1715,South America
China,2015,9.6,8033.388043,Asia
Colombia,2015,8.3,6175.87603,South America
Comoros,2015,6.8,1271.057042,Africa
Costa Rica,2015,7.9,11299.13618,North America
Croatia,2015,17.8,11780.13124,Europe
Cuba,2015,13.7,7694.01192,North America
Cyprus,2015,4.9,23217.48415,Europe
Denmark,2015,11.9,53254.856,Europe
Djibouti,2015,6.4,1787.4775,Africa
Dominican Republic,2015,9.7,6691.71692,North America
Ecuador,2015,9.6,6124.491643,South America
El Salvador,2015,14,3705.577946,North America
Equatorial Guinea,2015,16.5,11278.92894,Africa
Estonia,2015,15.8,17412.44867,Europe
Eswatini,2015,13.1,3641.408583,Africa
Ethiopia,2015,7.2,639.3043597,Africa
Fiji,2015,5,5390.745258,Oceania
Finland,2015,14.4,42494.65662,Europe
France,2015,18,36613.37522,Europe
Gabon,2015,7.3,7381.746749,Africa
Georgia,2015,8.1,3756.383768,Europe
Germany,2015,13.8,41394.65816,Europe
Ghana,2015,5.3,1766.005701,Africa
Greece,2015,4.8,18167.77372,Europe
Grenada,2015,1.1,9096.870646,North America
Guatemala,2015,3.1,3923.573344,North America
Guinea,2015,6.4,769.2560137,Africa
Guinea-Bissau,2015,3.9,603.1585129,Africa
Guyana,2015,29.1,4166.134826,South America
Haiti,2015,11.7,815.7282844,North America
Honduras,2015,2.8,2286.200039,North America
Hungary,2015,20.3,12503.68207,Europe
