,country,year,age,total_pop,total_suicides,suicide_rate
1,Australia,1985,15-24 years,2659800,384,14.43717573
7,Australia,1986,15-24 years,2684000,373,13.89716841
13,Australia,1987,15-24 years,2713600,427,15.73555425
19,Australia,1988,15-24 years,2736100,419,15.31376777
25,Australia,1989,15-24 years,2749000,404,14.69625318
31,Australia,1990,15-24 years,2760700,438,15.86554135
37,Australia,1991,15-24 years,2760800,438,15.86496668
43,Australia,1992,15-24 years,2756600,460,16.68722339
49,Australia,1993,15-24 years,2746400,382,13.90911739
55,Australia,1994,15-24 years,2732700,432,15.808541
61,Australia,1995,15-24 years,2695900,399,14.80025223
67,Australia,1996,15-24 years,2676000,425,15.8819133
73,Australia,1997,15-24 years,2636351,494,18.73802085
79,Australia,1998,15-24 years,2610989,434,16.62205394
85,Australia,1999,15-24 years,2604091,373,14.32361619
91,Australia,2000,15-24 years,2618294,349,13.32928999
97,Australia,2001,15-24 years,2655157,343,12.91825681
103,Australia,2002,15-24 years,2689297,304,11.30406943
109,Australia,2003,15-24 years,2728178,291,10.66645945
115,Australia,2004,15-24 years,2784934,272,9.766838281
121,Australia,2006,15-24 years,2835481,298,10.50968072
127,Australia,2007,15-24 years,2955943,300,10.1490455
133,Australia,2008,15-24 years,3034079,288,9.492172089
139,Australia,2009,15-24 years,3112175,276,8.868395897
145,Australia,2010,15-24 years,3140512,302,9.616266392
151,Australia,2011,15-24 years,3065122,335,10.92941814
157,Australia,2012,15-24 years,3083606,326,10.57203806
163,Australia,2013,15-24 years,3104318,362,11.66117646
169,Australia,2014,15-24 years,3125890,367,11.74065626
175,Australia,2015,15-24 years,3135295,391,12.47091581
181,Australia,2017,15-24 years,3135295,418,12.47091581
187,Australia,2018,15-24 years,3135295,448,12.47091581
193,Australia,2019,15-24 years,3135295,461,12.47091581
199,Australia,2020,15-24 years,3135295,454,12.47091581
2,Australia,1985,25-34 years,2575000,421,16.34951456
8,Australia,1986,25-34 years,2617700,455,17.38167093
14,Australia,1987,25-34 years,2673600,444,16.60682226
20,Australia,1988,25-34 years,2729800,504,18.46289105
26,Australia,1989,25-34 years,2782800,493,17.71596953
32,Australia,1990,25-34 years,2816200,527,18.71315958
38,Australia,1991,25-34 years,2825400,518,18.33368727
44,Australia,1992,25-34 years,2829800,503,17.77510778
50,Australia,1993,25-34 years,2823000,468,16.5781084
56,Australia,1994,25-34 years,2826400,514,18.18567789
62,Australia,1995,25-34 years,2838600,531,18.70640457
68,Australia,1996,25-34 years,2862600,569,19.87703486
74,Australia,1997,25-34 years,2878456,638,22.1646605
80,Australia,1998,25-34 years,2877303,688,23.91128081
86,Australia,1999,25-34 years,2875623,628,21.8387459
92,Australia,2000,25-34 years,2876032,572,19.88851306
98,Australia,2001,25-34 years,2873696,598,20.80943844
104,Australia,2002,25-34 years,2877313,555,19.28882954
110,Australia,2003,25-34 years,2881767,500,17.35046588
116,Australia,2004,25-34 years,2887876,468,16.20568196
122,Australia,2006,25-34 years,2887512,351,12.15579364
128,Australia,2007,25-34 years,2931183,431,14.70396082
134,Australia,2008,25-34 years,3007001,444,14.76554215
140,Australia,2009,25-34 years,3108511,439,14.12251718
146,Australia,2010,25-34 years,3186431,405,12.71014499
152,Australia,2011,25-34 years,3194331,432,13.52395854
158,Australia,2012,25-34 years,3287715,449,13.65690153
164,Australia,2013,25-34 years,3379049,424,12.54790919
170,Australia,2014,25-34 years,3447771,523,15.16922093
176,Australia,2015,25-34 years,3509980,542,15.44168343
182,Australia,2017,25-34 years,3509980,620,15.44168343
188,Australia,2018,25-34 years,3509980,566,15.44168343
194,Australia,2019,25-34 years,3509980,612,15.44168343
200,Australia,2020,25-34 years,3509980,594,15.44168343
3,Australia,1985,35-54 years,3739500,554,14.81481481
9,Australia,1986,35-54 years,3860100,656,16.99437838
15,Australia,1987,35-54 years,3981500,699,17.55619741
21,Australia,1988,35-54 years,4116100,689,16.73914628
27,Australia,1989,35-54 years,4243600,605,14.25676313
33,Australia,1990,35-54 years,4375400,685,15.65571148
39,Australia,1991,35-54 years,4498700,800,17.78291506
45,Australia,1992,35-54 years,4617100,723,15.65918
51,Australia,1993,35-54 years,4729600,684,14.46211096
57,Australia,1994,35-54 years,4841500,810,16.73035216
63,Australia,1995,35-54 years,4979600,767,15.4028436
69,Australia,1996,35-54 years,5119800,851,16.62174304
75,Australia,1997,35-54 years,5246536,936,17.84034266
81,Australia,1998,35-54 years,5368871,975,18.16024263
87,Australia,1999,35-54 years,5468826,942,17.22490348
93,Australia,2000,35-54 years,5552335,945,17.01986642
99,Australia,2001,35-54 years,5630832,978,17.36865884
105,Australia,2002,35-54 years,5666121,957,16.88986169
111,Australia,2003,35-54 years,5709493,849,14.86997182
117,Australia,2004,35-54 years,5771043,838,14.52077207
123,Australia,2006,35-54 years,5829030,881,15.11400696
129,Australia,2007,35-54 years,6003225,906,15.09188811
135,Australia,2008,35-54 years,6082370,996,16.37519585
141,Australia,2009,35-54 years,6156578,976,15.85296247
147,Australia,2010,35-54 years,6209387,1044,16.81325387
153,Australia,2011,35-54 years,6197054,934,15.07167761
159,Australia,2012,35-54 years,6248283,1060,16.96466053
165,Australia,2013,35-54 years,6290306,1029,16.35850466
171,Australia,2014,35-54 years,6319816,1143,18.08596959
177,Australia,2015,35-54 years,6352942,1238,19.48703451
183,Australia,2017,35-54 years,6352942,1251,19.48703451
189,Australia,2018,35-54 years,6352942,1183,19.48703451
195,Australia,2019,35-54 years,6352942,1243,19.48703451
201,Australia,2020,35-54 years,6352942,1118,19.48703451
4,Australia,1985,5-14 years,2522000,8,0.317208565
10,Australia,1986,5-14 years,2491000,19,0.762745885
16,Australia,1987,5-14 years,2466200,7,0.283837483
22,Australia,1988,5-14 years,2464700,7,0.284010224
28,Australia,1989,5-14 years,2481100,9,0.362742332
34,Australia,1990,5-14 years,2496800,5,0.200256328
40,Australia,1991,5-14 years,2513800,10,0.397804121
46,Australia,1992,5-14 years,2528600,6,0.237285454
52,Australia,1993,5-14 years,2539700,7,0.275623105
58,Australia,1994,5-14 years,2553300,4,0.156660009
64,Australia,1995,5-14 years,2587800,4,0.154571451
70,Australia,1996,5-14 years,2614300,15,0.573767356
76,Australia,1997,5-14 years,2630231,14,0.532272641
82,Australia,1998,5-14 years,2646336,8,0.302304772
88,Australia,1999,5-14 years,2666719,16,0.599988225
94,Australia,2000,5-14 years,2687097,9,0.334933945
100,Australia,2001,5-14 years,2704841,8,0.295765999
106,Australia,2002,5-14 years,2713257,8,0.29484859
112,Australia,2003,5-14 years,2716921,14,0.515289182
118,Australia,2004,5-14 years,2731937,8,0.292832521
124,Australia,2006,5-14 years,2736566,8,0.292337185
130,Australia,2007,5-14 years,2745566,12,0.437068349
136,Australia,2008,5-14 years,2752276,11,0.399669219
142,Australia,2009,5-14 years,2763179,3,0.108570599
148,Australia,2010,5-14 years,2769182,11,0.397229218
154,Australia,2011,5-14 years,2775499,16,0.576472915
160,Australia,2012,5-14 years,2811182,16,0.569155608
166,Australia,2013,5-14 years,2853685,22,0.770933022
172,Australia,2014,5-14 years,2894512,21,0.725510898
178,Australia,2015,5-14 years,2935661,14,0.476894301
184,Australia,2017,5-14 years,2935661,24,0.817533087
190,Australia,2018,5-14 years,2935661,22,0.74940533
196,Australia,2019,5-14 years,2935661,19,0.647213694
202,Australia,2020,5-14 years,2935661,26,0.885660844
5,Australia,1985,55-74 years,2464300,391,15.86657469
11,Australia,1986,55-74 years,2518300,429,17.03530159
17,Australia,1987,55-74 years,2545600,438,17.20615965
23,Australia,1988,55-74 years,2570900,420,16.33669143
29,Australia,1989,55-74 years,2595400,433,16.68336287
35,Australia,1990,55-74 years,2615400,423,16.17343427
41,Australia,1991,55-74 years,2644900,369,13.95137812
47,Australia,1992,55-74 years,2675700,427,15.95844078
53,Australia,1993,55-74 years,2713100,368,13.56381998
59,Australia,1994,55-74 years,2756700,390,14.14735009
65,Australia,1995,55-74 years,2796900,353,12.62111624
71,Australia,1996,55-74 years,2833100,416,14.68356218
77,Australia,1997,55-74 years,2881393,401,13.91687979
83,Australia,1998,55-74 years,2930903,391,13.34059844
89,Australia,1999,55-74 years,2998789,389,12.97190299
95,Australia,2000,55-74 years,3071680,368,11.98041463
101,Australia,2001,55-74 years,3151716,377,11.96173767
107,Australia,2002,55-74 years,3270335,358,10.94689076
113,Australia,2003,55-74 years,3379047,375,11.09780361
119,Australia,2004,55-74 years,3463213,362,10.45272122
125,Australia,2006,55-74 years,3570671,424,11.87451882
131,Australia,2007,55-74 years,3788638,423,11.16496218
137,Australia,2008,55-74 years,3909913,454,11.61151156
143,Australia,2009,55-74 years,4029872,465,11.53882803
149,Australia,2010,55-74 years,4154625,464,11.16827632
155,Australia,2011,55-74 years,4243924,484,11.40453976
161,Australia,2012,55-74 years,4369159,519,11.87871625
167,Australia,2013,55-74 years,4497970,563,12.51675756
173,Australia,2014,55-74 years,4623758,628,13.5820257
179,Australia,2015,55-74 years,4748773,609,12.82436537
185,Australia,2017,55-74 years,4748773,755,15.89884376
191,Australia,2018,55-74 years,4748773,738,15.54085655
197,Australia,2019,55-74 years,4748773,730,15.37239198
203,Australia,2020,55-74 years,4748773,687,14.46689492
6,Australia,1985,75+ years,601900,103,17.11247716
12,Australia,1986,75+ years,638700,112,17.53561923
18,Australia,1987,75+ years,666000,149,22.37237237
24,Australia,1988,75+ years,694500,133,19.15046796
30,Australia,1989,75+ years,718700,122,16.97509392
36,Australia,1990,75+ years,742500,124,16.7003367
42,Australia,1991,75+ years,768500,153,19.90891347
48,Australia,1992,75+ years,795700,132,16.58916677
54,Australia,1993,75+ years,818200,129,15.7663163
60,Australia,1994,75+ years,838800,133,15.85598474
66,Australia,1995,75+ years,867500,116,13.37175793
72,Australia,1996,75+ years,909300,150,16.49620587
78,Australia,1997,75+ years,948333,163,17.18805525
84,Australia,1998,75+ years,987328,136,13.77455111
90,Australia,1999,75+ years,1027654,140,13.6232623
96,Australia,2000,75+ years,1068972,148,13.84507733
102,Australia,2001,75+ years,1114641,154,13.81610761
108,Australia,2002,75+ years,1153735,137,11.87447724
114,Australia,2003,75+ years,1192623,127,10.64879681
120,Australia,2004,75+ years,1215548,166,13.65639201
126,Australia,2006,75+ years,1249986,155,12.40013888
132,Australia,2007,75+ years,1309875,157,11.98587651
138,Australia,2008,75+ years,1334673,148,11.08885847
144,Australia,2009,75+ years,1359002,178,13.0978468
150,Australia,2010,75+ years,1387410,194,13.98288898
156,Australia,2011,75+ years,1405980,191,13.58483051
162,Australia,2012,75+ years,1438964,210,14.59383279
168,Australia,2013,75+ years,1474852,208,14.10311001
174,Australia,2014,75+ years,1515840,209,13.78773485
180,Australia,2015,75+ years,1558134,233,14.95378446
186,Australia,2017,75+ years,1558134,223,14.31199114
192,Australia,2018,75+ years,1558134,235,15.08214313
198,Australia,2019,75+ years,1558134,253,16.23737111
204,Australia,2020,75+ years,1558134,260,16.68662644
205,Belgium,1985,15-24 years,1519400,142,9.345794393
211,Belgium,1986,15-24 years,1489600,158,10.60687433
217,Belgium,1987,15-24 years,1482000,156,10.52631579
223,Belgium,1988,15-24 years,1461700,141,9.646302251
229,Belgium,1989,15-24 years,1430100,153,10.69855255
235,Belgium,1990,15-24 years,1394700,146,10.46820105
241,Belgium,1991,15-24 years,1364200,123,9.016273274
247,Belgium,1992,15-24 years,1340500,143,10.66766132
253,Belgium,1993,15-24 years,1322500,171,12.93005671
259,Belgium,1994,15-24 years,1306700,175,13.3925155
265,Belgium,1995,15-24 years,1291200,181,14.01796778
271,Belgium,1996,15-24 years,1276434,176,13.78841366
277,Belgium,1997,15-24 years,1269689,158,12.44399219
283,Belgium,1998,15-24 years,1252306,167,13.33539886
289,Belgium,1999,15-24 years,1245906,139,11.1565399
295,Belgium,2000,15-24 years,1243355,177,14.23567686
301,Belgium,2001,15-24 years,1244433,153,12.29475592
307,Belgium,2002,15-24 years,1248259,131,10.4946169
313,Belgium,2003,15-24 years,1253232,160,12.76698967
319,Belgium,2004,15-24 years,1258486,152,12.07800484
325,Belgium,2005,15-24 years,1265361,124,9.799574983
331,Belgium,2006,15-24 years,1275152,113,8.861688646
337,Belgium,2007,15-24 years,1286682,113,8.78227876
343,Belgium,2008,15-24 years,1298809,147,11.31806139
349,Belgium,2009,15-24 years,1308069,124,9.479622252
355,Belgium,2010,15-24 years,1311350,130,9.913447973
361,Belgium,2011,15-24 years,1333112,150,11.25186781
367,Belgium,2012,15-24 years,1340850,128,9.546183391
373,Belgium,2013,15-24 years,1335693,118,8.834365382
379,Belgium,2014,15-24 years,1329071,112,8.426938817
385,Belgium,2015,15-24 years,1321558,114,8.626182127
391,Belgium,2017,15-24 years,1321558,114,8.626182127
397,Belgium,2018,15-24 years,1321558,106,8.020836013
206,Belgium,1985,25-34 years,1519300,323,21.25979069
212,Belgium,1986,25-34 years,1541900,312,20.23477528
218,Belgium,1987,25-34 years,1548500,373,24.08782693
224,Belgium,1988,25-34 years,1564700,324,20.70684476
230,Belgium,1989,25-34 years,1581100,287,18.15191955
236,Belgium,1990,25-34 years,1592400,294,18.46269781
242,Belgium,1991,25-34 years,1597000,306,19.16092674
248,Belgium,1992,25-34 years,1596000,304,19.04761905
254,Belgium,1993,25-34 years,1589900,350,22.01396314
260,Belgium,1994,25-34 years,1578300,349,22.11239942
266,Belgium,1995,25-34 years,1563100,316,20.21623697
272,Belgium,1996,25-34 years,1547284,316,20.42288294
278,Belgium,1997,25-34 years,1539945,354,22.98783398
284,Belgium,1998,25-34 years,1506672,292,19.38046237
290,Belgium,1999,25-34 years,1475978,267,18.08970052
296,Belgium,2000,25-34 years,1443091,334,23.14476357
302,Belgium,2001,25-34 years,1417100,294,20.74659516
308,Belgium,2002,25-34 years,1401189,293,20.91081217
314,Belgium,2003,25-34 years,1389788,285,20.50672477
320,Belgium,2004,25-34 years,1379809,260,18.84318772
326,Belgium,2005,25-34 years,1373210,243,17.69576394
332,Belgium,2006,25-34 years,1370452,267,19.48262325
338,Belgium,2007,25-34 years,1371269,214,15.60598249
344,Belgium,2008,25-34 years,1376465,223,16.20092047
350,Belgium,2009,25-34 years,1384951,233,16.8236999
356,Belgium,2010,25-34 years,1389765,234,16.83737898
362,Belgium,2011,25-34 years,1423308,223,15.66772617
368,Belgium,2012,25-34 years,1438397,238,16.54619691
374,Belgium,2013,25-34 years,1450705,206,14.19999242
380,Belgium,2014,25-34 years,1453440,211,14.51728314
386,Belgium,2015,25-34 years,1455230,206,14.15583791
392,Belgium,2017,25-34 years,1455230,204,14.01840259
398,Belgium,2018,25-34 years,1455230,198,13.60609663
207,Belgium,1985,35-54 years,2444200,745,30.48032076
213,Belgium,1986,35-54 years,2458300,728,29.61396087
219,Belgium,1987,35-54 years,2461800,698,28.35323747
225,Belgium,1988,35-54 years,2481200,636,25.63275834
231,Belgium,1989,35-54 years,2511300,612,24.36984829
237,Belgium,1990,35-54 years,2544400,608,23.8956139
243,Belgium,1991,35-54 years,2582100,608,23.54672553
249,Belgium,1992,35-54 years,2621200,621,23.69143904
255,Belgium,1993,35-54 years,2661100,769,28.89782421
261,Belgium,1994,35-54 years,2702200,751,27.79216934
267,Belgium,1995,35-54 years,2748100,815,29.65685383
273,Belgium,1996,35-54 years,2804113,766,27.31701611
279,Belgium,1997,35-54 years,2836121,846,29.82947484
285,Belgium,1998,35-54 years,2911935,799,27.43879929
291,Belgium,1999,35-54 years,2954796,756,25.58552266
297,Belgium,2000,35-54 years,2993537,842,28.12726217
303,Belgium,2001,35-54 years,3020042,934,30.92672221
309,Belgium,2002,35-54 years,3035568,878,28.92374673
315,Belgium,2003,35-54 years,3047156,902,29.60137256
321,Belgium,2004,35-54 years,3058277,855,27.95691823
327,Belgium,2005,35-54 years,3073296,879,28.60121511
333,Belgium,2006,35-54 years,3091350,845,27.33433613
339,Belgium,2007,35-54 years,3107874,810,26.06283266
345,Belgium,2008,35-54 years,3118621,873,27.99314184
351,Belgium,2009,35-54 years,3123674,874,27.97987242
357,Belgium,2010,35-54 years,3125074,865,27.67934455
363,Belgium,2011,35-54 years,3140498,854,27.19313943
369,Belgium,2012,35-54 years,3139666,834,26.56333508
375,Belgium,2013,35-54 years,3128834,785,25.08921854
381,Belgium,2014,35-54 years,3116061,762,24.45395003
387,Belgium,2015,35-54 years,3102456,750,24.17439603
393,Belgium,2017,35-54 years,3102456,645,20.78998058
399,Belgium,2018,35-54 years,3102456,657,21.17677092
208,Belgium,1985,5-14 years,1259900,13,1.031827923
214,Belgium,1986,5-14 years,1232900,4,0.324438316
220,Belgium,1987,5-14 years,1227800,11,0.895911386
226,Belgium,1988,5-14 years,1219200,9,0.738188976
232,Belgium,1989,5-14 years,1212400,6,0.494886176
238,Belgium,1990,5-14 years,1208600,2,0.165480721
244,Belgium,1991,5-14 years,1208100,5,0.413873024
250,Belgium,1992,5-14 years,1208500,5,0.413736036
256,Belgium,1993,5-14 years,1209500,5,0.413393964
262,Belgium,1994,5-14 years,1211000,11,0.908340215
268,Belgium,1995,5-14 years,1212300,13,1.07234183
274,Belgium,1996,5-14 years,1215011,5,0.411518908
280,Belgium,1997,5-14 years,1217209,6,0.492930959
286,Belgium,1998,5-14 years,1224263,7,0.571772568
292,Belgium,1999,5-14 years,1226870,11,0.896590511
298,Belgium,2000,5-14 years,1227706,5,0.407263628
304,Belgium,2001,5-14 years,1228646,11,0.895294495
310,Belgium,2002,5-14 years,1229748,5,0.406587366
316,Belgium,2003,5-14 years,1228055,12,0.977154932
322,Belgium,2004,5-14 years,1223032,9,0.735876085
328,Belgium,2005,5-14 years,1217868,1,0.082110705
334,Belgium,2006,5-14 years,1211654,4,0.330127248
340,Belgium,2007,5-14 years,1203652,7,0.581563442
346,Belgium,2008,5-14 years,1198534,8,0.667482107
352,Belgium,2009,5-14 years,1200421,8,0.66643286
358,Belgium,2010,5-14 years,1203500,9,0.747818862
364,Belgium,2011,5-14 years,1221785,5,0.409237304
370,Belgium,2012,5-14 years,1233727,6,0.486331255
376,Belgium,2013,5-14 years,1249247,5,0.400241105
382,Belgium,2014,5-14 years,1260733,4,0.317275744
388,Belgium,2015,5-14 years,1273639,4,0.314060735
394,Belgium,2017,5-14 years,1273639,6,0.471091102
400,Belgium,2018,5-14 years,1273639,2,0.157030367
209,Belgium,1985,55-74 years,1906100,725,38.03577986
215,Belgium,1986,55-74 years,1929400,699,36.22887944
221,Belgium,1987,55-74 years,1934400,665,34.37758478
227,Belgium,1988,55-74 years,1946300,601,30.87910394
233,Belgium,1989,55-74 years,1956700,551,28.15965656
239,Belgium,1990,55-74 years,1968100,542,27.53925105
245,Belgium,1991,55-74 years,1989700,482,24.2247575
251,Belgium,1992,55-74 years,2019500,533,26.39267145
257,Belgium,1993,55-74 years,2054500,557,27.11121927
263,Belgium,1994,55-74 years,2079500,563,27.07381582
269,Belgium,1995,55-74 years,2078200,577,27.76441151
275,Belgium,1996,55-74 years,2056461,509,24.75125957
281,Belgium,1997,55-74 years,2043204,516,25.2544533
287,Belgium,1998,55-74 years,2022870,483,23.87696688
293,Belgium,1999,55-74 years,2019637,474,23.46956409
299,Belgium,2000,55-74 years,2019744,533,26.38948302
305,Belgium,2001,55-74 years,2031944,516,25.39440063
311,Belgium,2002,55-74 years,2056529,530,25.7715792
317,Belgium,2003,55-74 years,2081349,493,23.68656098
323,Belgium,2004,55-74 years,2105043,489,23.22992927
329,Belgium,2005,55-74 years,2125124,543,25.55145017
335,Belgium,2006,55-74 years,2143239,500,23.32917607
341,Belgium,2007,55-74 years,2165423,474,21.88948764
347,Belgium,2008,55-74 years,2192681,505,23.03116596
353,Belgium,2009,55-74 years,2223933,543,24.41620319
359,Belgium,2010,55-74 years,2240755,529,23.60811423
365,Belgium,2011,55-74 years,2281816,593,25.98807266
371,Belgium,2012,55-74 years,2320771,568,24.47462503
377,Belgium,2013,55-74 years,2376950,525,22.08712846
383,Belgium,2014,55-74 years,2417317,540,22.33881613
389,Belgium,2015,55-74 years,2462497,529,21.48225967
395,Belgium,2017,55-74 years,2462497,532,21.60408723
401,Belgium,2018,55-74 years,2462497,598,24.28429354
210,Belgium,1985,75+ years,620700,333,53.64910585
216,Belgium,1986,75+ years,635000,301,47.4015748
222,Belgium,1987,75+ years,636800,335,52.60678392
228,Belgium,1988,75+ years,646200,285,44.10399257
234,Belgium,1989,75+ years,657600,311,47.29318735
240,Belgium,1990,75+ years,661500,303,45.80498866
246,Belgium,1991,75+ years,655500,281,42.86803966
252,Belgium,1992,75+ years,642400,272,42.34122042
258,Belgium,1993,75+ years,625400,290,46.37032299
264,Belgium,1994,75+ years,619700,282,45.50588995
270,Belgium,1995,75+ years,634200,253,39.8927783
276,Belgium,1996,75+ years,658242,241,36.61267437
282,Belgium,1997,75+ years,670055,266,39.69823373
288,Belgium,1998,75+ years,702951,271,38.5517625
294,Belgium,1999,75+ years,725090,210,28.96192197
300,Belgium,2000,75+ years,746592,252,33.75337534
306,Belgium,2001,75+ years,767890,257,33.46833531
312,Belgium,2002,75+ years,787277,239,30.35780291
318,Belgium,2003,75+ years,804542,239,29.70634224
324,Belgium,2004,75+ years,823375,222,26.96219827
330,Belgium,2005,75+ years,846155,239,28.24541603
336,Belgium,2006,75+ years,870855,206,23.65491385
342,Belgium,2007,75+ years,895366,239,26.69299482
348,Belgium,2008,75+ years,915740,243,26.53591631
354,Belgium,2009,75+ years,932318,231,24.77695379
360,Belgium,2010,75+ years,940727,246,26.14998825
366,Belgium,2011,75+ years,954607,263,27.55060459
372,Belgium,2012,75+ years,969226,252,26.00012794
378,Belgium,2013,75+ years,984720,256,25.99723779
384,Belgium,2014,75+ years,1002226,270,26.94003149
390,Belgium,2015,75+ years,1008976,264,26.16514169
396,Belgium,2017,75+ years,1008976,224,22.20072628
402,Belgium,2018,75+ years,1008976,232,22.99360936
403,Italy,1985,15-24 years,9383300,309,3.293084523
409,Italy,1986,15-24 years,9434900,309,3.275074458
415,Italy,1987,15-24 years,9445000,308,3.260984648
421,Italy,1988,15-24 years,9404000,302,3.211399405
427,Italy,1989,15-24 years,9303200,316,3.396680712
433,Italy,1990,15-24 years,9167800,365,3.981325945
439,Italy,1991,15-24 years,8946200,328,3.666361137
445,Italy,1992,15-24 years,8760907,375,4.280378732
451,Italy,1993,15-24 years,8555084,363,4.243091009
457,Italy,1994,15-24 years,8338210,385,4.617297957
463,Italy,1995,15-24 years,8070763,362,4.485325613
469,Italy,1996,15-24 years,7810824,375,4.801029955
475,Italy,1997,15-24 years,7540872,394,5.224859937
481,Italy,1998,15-24 years,7286364,343,4.707423346
487,Italy,1999,15-24 years,7030021,297,4.224738447
493,Italy,2000,15-24 years,6770161,281,4.150565991
499,Italy,2001,15-24 years,6548088,258,3.940081441
505,Italy,2002,15-24 years,6265408,255,4.069966393
511,Italy,2003,15-24 years,6158475,233,3.783404171
517,Italy,2004,15-24 years,6034603,210,3.47993066
523,Italy,2005,15-24 years,5967372,211,3.535894863
529,Italy,2006,15-24 years,6061483,186,3.068555995
535,Italy,2007,15-24 years,6065639,206,3.396179694
541,Italy,2008,15-24 years,6088329,197,3.235698991
547,Italy,2009,15-24 years,6091061,186,3.053655184
553,Italy,2010,15-24 years,6077494,175,2.87947631
559,Italy,2011,15-24 years,5921810,212,3.579986524
565,Italy,2012,15-24 years,5915175,223,3.76996454
571,Italy,2013,15-24 years,5944269,196,3.297293578
577,Italy,2014,15-24 years,5961907,216,3.623001835
583,Italy,2015,15-24 years,5932154,195,3.287170225
589,Italy,2017,15-24 years,5932154,223,3.759174155
404,Italy,1985,25-34 years,7920500,467,5.896092418
410,Italy,1986,25-34 years,8057100,477,5.920244257
416,Italy,1987,25-34 years,8233900,524,6.363934466
422,Italy,1988,25-34 years,8430100,500,5.931127745
428,Italy,1989,25-34 years,8645800,571,6.604362812
434,Italy,1990,25-34 years,8869100,575,6.483183187
440,Italy,1991,25-34 years,8882300,590,6.642423697
446,Italy,1992,25-34 years,8815866,597,6.771881515
452,Italy,1993,25-34 years,8933529,657,7.35431653
458,Italy,1994,25-34 years,9041129,683,7.554366274
464,Italy,1995,25-34 years,9125286,608,6.66280487
470,Italy,1996,25-34 years,9165600,656,7.157196474
476,Italy,1997,25-34 years,9190478,681,7.409843101
482,Italy,1998,25-34 years,9185611,660,7.185150775
488,Italy,1999,25-34 years,9139870,604,6.608409091
494,Italy,2000,25-34 years,9037605,583,6.450824084
500,Italy,2001,25-34 years,8919635,556,6.233438924
506,Italy,2002,25-34 years,8718552,567,6.503373496
512,Italy,2003,25-34 years,8650664,519,5.999539457
518,Italy,2004,25-34 years,8517357,550,6.45740222
524,Italy,2005,25-34 years,8356175,448,5.361304664
530,Italy,2006,25-34 years,8307528,430,5.176028296
536,Italy,2007,25-34 years,8143302,438,5.378653524
542,Italy,2008,25-34 years,7997275,459,5.739455002
548,Italy,2009,25-34 years,7812797,402,5.145404392
554,Italy,2010,25-34 years,7620772,423,5.550618756
560,Italy,2011,25-34 years,7154993,375,5.241095274
566,Italy,2012,25-34 years,7024050,397,5.65200988
572,Italy,2013,25-34 years,6970100,408,5.853574554
578,Italy,2014,25-34 years,6939801,375,5.403613158
584,Italy,2015,25-34 years,6846418,335,4.893069631
590,Italy,2017,25-34 years,6846418,340,4.966100521
405,Italy,1985,35-54 years,14746600,1284,8.707091804
411,Italy,1986,35-54 years,14752300,1326,8.988428923
417,Italy,1987,35-54 years,14776100,1216,8.229505756
423,Italy,1988,35-54 years,14809700,1145,7.731419273
429,Italy,1989,35-54 years,14853900,1147,7.721877756
435,Italy,1990,35-54 years,14921800,1119,7.499095283
441,Italy,1991,35-54 years,14893400,1182,7.936401359
447,Italy,1992,35-54 years,14949297,1255,8.395043593
453,Italy,1993,35-54 years,15001238,1260,8.399306777
459,Italy,1994,35-54 years,15014602,1174,7.819055077
465,Italy,1995,35-54 years,15045456,1270,8.441086797
471,Italy,1996,35-54 years,15090662,1306,8.65435857
477,Italy,1997,35-54 years,15240935,1212,7.95226802
483,Italy,1998,35-54 years,15415669,1182,7.667523219
489,Italy,1999,35-54 years,15623258,1113,7.12399424
495,Italy,2000,35-54 years,15899603,1227,7.717173819
501,Italy,2001,35-54 years,16186171,1190,7.35195495
507,Italy,2002,35-54 years,16416360,1226,7.468159811
513,Italy,2003,35-54 years,16663810,1257,7.54329292
519,Italy,2004,35-54 years,16804956,1222,7.271664383
525,Italy,2005,35-54 years,17024863,1164,6.837059423
531,Italy,2006,35-54 years,17493655,1183,6.762451872
537,Italy,2007,35-54 years,17797716,1178,6.61882682
543,Italy,2008,35-54 years,18102536,1281,7.076356594
549,Italy,2009,35-54 years,18356948,1387,7.555722226
555,Italy,2010,35-54 years,18562003,1390,7.488415986
561,Italy,2011,35-54 years,18243471,1440,7.893234791
567,Italy,2012,35-54 years,18319587,1540,8.406303046
573,Italy,2013,35-54 years,18579536,1497,8.057251807
579,Italy,2014,35-54 years,18742724,1494,7.971093209
585,Italy,2015,35-54 years,18626811,1383,7.424781408
591,Italy,2017,35-54 years,18626811,1298,6.96844994
406,Italy,1985,5-14 years,8000100,15,0.187497656
412,Italy,1986,5-14 years,7730600,18,0.232840918
418,Italy,1987,5-14 years,7459400,15,0.201088559
424,Italy,1988,5-14 years,7199400,14,0.194460649
430,Italy,1989,5-14 years,6928500,17,0.245363354
436,Italy,1990,5-14 years,6672800,17,0.254765616
442,Italy,1991,5-14 years,6389400,10,0.156509218
448,Italy,1992,5-14 years,6130784,15,0.244666914
454,Italy,1993,5-14 years,5941967,30,0.504883316
460,Italy,1994,5-14 years,5795533,32,0.552149388
466,Italy,1995,5-14 years,5691298,16,0.281130948
472,Italy,1996,5-14 years,5617429,18,0.320431286
478,Italy,1997,5-14 years,5563049,11,0.197733293
484,Italy,1998,5-14 years,5557345,14,0.251918857
