"","age","X","country","year","total_pop","total_suicides","suicide_rate","age_order"
"329","15-24 years",1679,"United States",1991,36399000,4751,13.05255639,1
"330","15-24 years",1685,"United States",1992,36146700,4693,12.98320455,1
"331","15-24 years",1691,"United States",1993,36029400,4849,13.45845337,1
"332","15-24 years",787,"Qatar",2004,112297,2,1.780991478,1
"333","15-24 years",1709,"United Kingdom",1996,7310994,450,6.155113792,1
"334","15-24 years",1715,"United Kingdom",1997,7216086,493,6.831958488,1
"335","15-24 years",1326,"South Africa",2008,9992770,127,1.270918874,1
"336","15-24 years",1727,"United Kingdom",1999,7183557,481,6.695847197,1
"337","15-24 years",1338,"South Africa",2010,10274503,88,0.856489117,1
"338","15-24 years",1344,"South Africa",2011,10272658,111,1.08053826,1
"339","15-24 years",1350,"South Africa",2012,10275104,155,1.508500547,1
"340","15-24 years",1745,"United States",2002,40589783,4010,9.879333427,1
"341","15-24 years",1751,"United States",2003,41206163,3988,9.678163919,1
"342","15-24 years",1757,"United States",2004,41701105,4316,10.34984565,1
"343","15-24 years",775,"Qatar",1995,70759,0,0,1
"344","15-24 years",781,"Qatar",2001,80418,2,2.487005397,1
"345","15-24 years",847,"Qatar",2014,372349,13,3.491348171,1
"346","15-24 years",1763,"United States",2005,42076849,4212,10.01025528,1
"347","15-24 years",1769,"United States",2006,42435426,4189,9.871469182,1
"348","15-24 years",1721,"United Kingdom",1998,7174459,483,6.732214931,1
"349","15-24 years",1829,"Uruguay",1985,487000,21,4.31211499,1
"350","15-24 years",1733,"United Kingdom",2000,7232952,491,6.788376309,1
"351","15-24 years",1739,"United Kingdom",2001,7232309,433,5.987022955,1
"352","15-24 years",1745,"United Kingdom",2002,7400484,413,5.580716072,1
"353","15-24 years",1356,"South Africa",2013,10280221,151,1.468840018,1
"354","15-24 years",1865,"Uruguay",1993,517159,55,10.63502714,1
"355","15-24 years",1871,"Uruguay",1994,525870,43,8.176925856,1
"356","15-24 years",607,"New Zealand",1987,582000,113,19.41580756,1
"357","15-24 years",613,"New Zealand",1988,577400,131,22.68791133,1
"358","15-24 years",1703,"United Kingdom",1995,7436019,500,6.724028005,1
"359","15-24 years",1823,"United States",2015,44248886,5491,12.40935196,1
"360","15-24 years",1973,"Uruguay",2012,520431,93,17.86980407,1
"361","15-24 years",793,"Qatar",2005,119247,7,5.870168642,1
"362","15-24 years",1985,"Uruguay",2014,520664,96,18.43799456,1
"363","15-24 years",1835,"Uruguay",1986,490600,30,6.114961272,1
"364","15-24 years",1841,"Uruguay",1987,494500,25,5.055611729,1
"365","15-24 years",1847,"Uruguay",1988,498100,34,6.825938567,1
"366","15-24 years",1751,"United Kingdom",2003,7573021,407,5.374341363,1
"367","15-24 years",1757,"United Kingdom",2004,7738612,403,5.207652225,1
"368","15-24 years",1685,"United Kingdom",1992,7959893,591,7.42472292,1
"369","15-24 years",1691,"United Kingdom",1993,7718293,583,7.553483652,1
"370","15-24 years",1697,"United Kingdom",1994,7543587,527,6.986066443,1
"371","15-24 years",2081,"Uzbekistan",2001,5118760,539,10.52989396,1
"372","15-24 years",2141,"Uzbekistan",2014,6119722,694,11.34038442,1
"373","15-24 years",1997,"Uruguay",2017,519629,113,21.74628437,1
"374","15-24 years",1979,"Uruguay",2013,520959,88,16.89192432,1
"375","15-24 years",2087,"Uzbekistan",2002,5300861,466,8.791024703,1
"376","15-24 years",1991,"Uruguay",2015,519629,91,17.51249449,1
"377","15-24 years",1272,"South Africa",1999,9290128,68,0.731959775,1
"378","15-24 years",2003,"Uruguay",2018,519629,86,16.55026952,1
"379","15-24 years",1853,"Uruguay",1989,501800,44,8.768433639,1
"380","15-24 years",1859,"Uruguay",1990,487000,40,8.213552361,1
"381","15-24 years",799,"Qatar",2006,175017,4,2.285492266,1
"382","15-24 years",2069,"Uzbekistan",1999,4776090,491,10.28037579,1
"383","15-24 years",2075,"Uzbekistan",2000,4944157,530,10.71972431,1
"384","15-24 years",841,"Qatar",2013,368776,8,2.169338569,1
"385","15-24 years",1260,"South Africa",1997,8940823,28,0.313170275,1
"386","15-24 years",805,"Qatar",2007,220413,7,3.175856234,1
"387","15-24 years",811,"Qatar",2008,250576,1,0.399080518,1
"388","15-24 years",2015,"Uzbekistan",1990,3912000,326,8.333333333,1
"389","15-24 years",2135,"Uzbekistan",2013,6210942,643,10.3526969,1
